"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MULE-15822",90,8.0,90,"16.0",0,-8.0
"MULE-15821",39,2.0,34,"2.0",5,0.0
"MULE-15820",36,2.0,37,"1.0",-1,1.0
"MULE-15819",10,13.0,10,13.0,0,0.0
"MULE-15818",37,1.0,40,"2.0",-3,-1.0
"MULE-15816",27,2.0,42,2.0,-15,0.0
"MULE-15812",40,2.0,40,2.0,0,0.0
"MULE-15811",40,2.0,39,"4.0",1,-2.0
"MULE-15810",39,4.0,36,4.0,3,0.0
"MULE-15808",32,5.0,32,5.0,0,0.0
"MULE-15806",22,2.0,22,2.0,0,0.0
"MULE-15799",24,4.0,24,4.0,0,0.0
"MULE-15795",10,4.0,10,4.0,0,0.0
"MULE-15790",48,8.0,48,8.0,0,0.0
"MULE-15786",16,2.0,16,"2.0",0,0.0
"MULE-15785",22,8.0,17,8.0,5,0.0
"MULE-15783",15,4.0,15,4.0,0,0.0
"MULE-15781",21,2.0,21,2.0,0,0.0
"MULE-15780",17,-1.0,17,1.0,0,-2.0
"MULE-15779",32,3.0,32,3.0,0,0.0
"MULE-15778",94,5.0,94,5.0,0,0.0
"MULE-15776",26,8.0,26,8.0,0,0.0
"MULE-15775",79,2.0,79,2.0,0,0.0
"MULE-15774",18,8.0,18,8.0,0,0.0
"MULE-15773",18,1.0,18,1.0,0,0.0
"MULE-15769",35,-1.0,35,8.0,0,-9.0
"MULE-15766",14,4.0,14,4.0,0,0.0
"MULE-15764",38,4.0,38,4.0,0,0.0
"MULE-15760",12,1.0,12,1.0,0,0.0
"MULE-15749",20,4.0,20,4.0,0,0.0
"MULE-15748",41,1.0,41,1.0,0,0.0
"MULE-15747",10,4.0,7,"8.0",3,-4.0
"MULE-15746",9,1.0,9,1.0,0,0.0
"MULE-15743",30,8.0,30,8.0,0,0.0
"MULE-15741",12,2.0,12,2.0,0,0.0
"MULE-15740",14,2.0,14,2.0,0,0.0
"MULE-15739",18,2.0,18,2.0,0,0.0
"MULE-15737",15,1.0,15,1.0,0,0.0
"MULE-15735",164,2.0,164,2.0,0,0.0
"MULE-15734",1027,3.0,1027,3.0,0,0.0
"MULE-15731",55,8.0,55,8.0,0,0.0
"MULE-15730",27,2.0,27,2.0,0,0.0
"MULE-15728",89,16.0,71,"16.0",18,0.0
"MULE-15725",32,2.0,32,2.0,0,0.0
"MULE-15723",16,3.0,16,3.0,0,0.0
"MULE-15716",10,4.0,10,4.0,0,0.0
"MULE-15705",15,4.0,15,4.0,0,0.0
"MULE-15697",54,8.0,46,"8.0",8,0.0
"MULE-15696",8,1.0,8,1.0,0,0.0
"MULE-15695",6,1.0,6,1.0,0,0.0
"MULE-15694",34,8.0,34,8.0,0,0.0
"MULE-15691",25,8.0,25,8.0,0,0.0
"MULE-15689",32,8.0,32,8.0,0,0.0
"MULE-15688",31,8.0,31,8.0,0,0.0
"MULE-15687",149,3.0,149,3.0,0,0.0
"MULE-15686",10,4.0,10,"4.0",0,0.0
"MULE-15685",11,4.0,11,"4.0",0,0.0
"MULE-15684",11,4.0,11,"4.0",0,0.0
"MULE-15683",12,4.0,12,"8.0",0,-4.0
"MULE-15682",12,4.0,12,"8.0",0,-4.0
"MULE-15681",10,8.0,9,8.0,1,0.0
"MULE-15680",11,8.0,10,8.0,1,0.0
"MULE-15677",20,4.0,20,"4.0",0,0.0
"MULE-15676",8,1.0,8,1.0,0,0.0
"MULE-15675",10,3.0,10,3.0,0,0.0
"MULE-15670",125,4.0,46,4.0,79,0.0
"MULE-15666",46,1.0,46,1.0,0,0.0
