"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TISTUD-8729",67,8.0,67,8.0,0,0.0
"TISTUD-8727",180,5.0,180,5.0,0,0.0
"TISTUD-8724",58,5.0,58,5.0,0,0.0
"TISTUD-8721",136,3.0,134,3.0,2,0.0
"TISTUD-8720",103,5.0,103,5.0,0,0.0
"TISTUD-8719",18,12.0,18,12.0,0,0.0
"TISTUD-8718",95,8.0,17,8.0,78,0.0
"TISTUD-8714",39,5.0,36,5.0,3,0.0
"TISTUD-8713",29,3.0,26,3.0,3,0.0
"TISTUD-8711",156,5.0,144,5.0,12,0.0
"TISTUD-8710",290,3.0,290,3.0,0,0.0
"TISTUD-8707",103,5.0,103,5.0,0,0.0
"TISTUD-8705",32,21.0,32,21.0,0,0.0
"TISTUD-8703",343,5.0,344,5.0,-1,0.0
"TISTUD-8701",67,3.0,67,3.0,0,0.0
"TISTUD-8698",67,3.0,67,3.0,0,0.0
"TISTUD-8696",91,2.0,91,2.0,0,0.0
"TISTUD-8693",49,5.0,49,5.0,0,0.0
"TISTUD-8688",30,5.0,29,5.0,1,0.0
"TISTUD-8685",483,13.0,482,13.0,1,0.0
"TISTUD-8684",45,8.0,45,8.0,0,0.0
"TISTUD-8683",59,5.0,59,5.0,0,0.0
"TISTUD-8682",27,5.0,32,5.0,-5,0.0
"TISTUD-8676",47,5.0,17,5.0,30,0.0
"TISTUD-8675",78,5.0,78,"5.0",0,0.0
"TISTUD-8668",117,5.0,117,5.0,0,0.0
"TISTUD-8665",36,2.0,36,2.0,0,0.0
"TISTUD-8662",36,2.0,36,2.0,0,0.0
"TISTUD-8659",65,5.0,65,5.0,0,0.0
"TISTUD-8658",116,5.0,49,5.0,67,0.0
"TISTUD-8656",20,8.0,20,8.0,0,0.0
"TISTUD-8652",31,5.0,31,5.0,0,0.0
"TISTUD-8643",123,8.0,123,8.0,0,0.0
"TISTUD-8642",57,8.0,57,8.0,0,0.0
"TISTUD-8641",45,5.0,45,5.0,0,0.0
"TISTUD-8638",10,8.0,10,8.0,0,0.0
"TISTUD-8612",116,5.0,116,5.0,0,0.0
"TISTUD-8610",122,13.0,122,13.0,0,0.0
"TISTUD-8605",42,3.0,42,3.0,0,0.0
"TISTUD-8603",81,5.0,78,5.0,3,0.0
"TISTUD-8600",106,3.0,103,3.0,3,0.0
"TISTUD-8598",53,5.0,53,5.0,0,0.0
"TISTUD-8597",41,5.0,26,5.0,15,0.0
"TISTUD-8596",133,3.0,131,3.0,2,0.0
"TISTUD-8594",101,5.0,101,5.0,0,0.0
"TISTUD-8591",41,3.0,41,3.0,0,0.0
"TISTUD-8588",51,5.0,51,5.0,0,0.0
"TISTUD-8584",102,3.0,92,3.0,10,0.0
"TISTUD-8580",169,5.0,170,5.0,-1,0.0
"TISTUD-8579",64,8.0,64,8.0,0,0.0
"TISTUD-8577",320,3.0,320,3.0,0,0.0
"TISTUD-8576",147,3.0,147,3.0,0,0.0
"TISTUD-8573",266,3.0,263,3.0,3,0.0
"TISTUD-8572",287,3.0,287,3.0,0,0.0
"TISTUD-8571",32,3.0,32,3.0,0,0.0
"TISTUD-8570",20,3.0,20,3.0,0,0.0
"TISTUD-8569",330,3.0,327,3.0,3,0.0
"TISTUD-8566",1052,5.0,1042,5.0,10,0.0
"TISTUD-8564",13,2.0,12,2.0,1,0.0
"TISTUD-8563",1498,8.0,1498,8.0,0,0.0
"TISTUD-8561",1310,5.0,1304,5.0,6,0.0
"TISTUD-8557",53,3.0,53,3.0,0,0.0
"TISTUD-8556",38,5.0,24,"5.0",14,0.0
"TISTUD-8554",67,3.0,67,"3.0",0,0.0
"TISTUD-8553",56,5.0,56,5.0,0,0.0
"TISTUD-8551",88,3.0,77,"3.0",11,0.0
"TISTUD-8547",18,8.0,17,8.0,1,0.0
"TISTUD-8544",34,5.0,10,5.0,24,0.0
"TISTUD-8541",43,3.0,39,3.0,4,0.0
"TISTUD-8540",58,3.0,44,3.0,14,0.0
"TISTUD-8538",42,3.0,42,3.0,0,0.0
"TISTUD-8536",30,5.0,68,5.0,-38,0.0
"TISTUD-8531",29,3.0,16,3.0,13,0.0
"TISTUD-8530",38,3.0,33,3.0,5,0.0
"TISTUD-8529",26,2.0,49,2.0,-23,0.0
"TISTUD-8527",39,5.0,33,5.0,6,0.0
"TISTUD-8526",105,3.0,104,3.0,1,0.0
"TISTUD-8524",22,5.0,20,5.0,2,0.0
"TISTUD-8523",355,3.0,355,3.0,0,0.0
"TISTUD-8519",6,8.0,6,8.0,0,0.0
"TISTUD-8516",249,2.0,217,2.0,32,0.0
"TISTUD-8509",21,5.0,21,5.0,0,0.0
"TISTUD-8506",260,3.0,260,3.0,0,0.0
"TISTUD-8502",24,3.0,24,"3.0",0,0.0
"TISTUD-8495",51,1.0,51,1.0,0,0.0
"TISTUD-8492",15,8.0,15,8.0,0,0.0
"TISTUD-8490",414,5.0,409,5.0,5,0.0
"TISTUD-8477",40,3.0,40,3.0,0,0.0
"TISTUD-8476",68,3.0,68,3.0,0,0.0
"TISTUD-8475",42,5.0,31,5.0,11,0.0
"TISTUD-8474",44,5.0,45,5.0,-1,0.0
"TISTUD-8473",42,5.0,42,5.0,0,0.0
"TISTUD-8472",62,3.0,61,"3.0",1,0.0
"TISTUD-8471",80,3.0,80,3.0,0,0.0
"TISTUD-8467",82,5.0,80,5.0,2,0.0
