"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MESOS-8837",8,1.0,8,1.0,0,0.0
"MESOS-8836",0,2.0,0,2.0,0,0.0
"MESOS-8835",157,1.0,155,1.0,2,0.0
"MESOS-8829",25,3.0,25,3.0,0,0.0
"MESOS-8825",13,5.0,13,"5.0",0,0.0
"MESOS-8819",40,1.0,40,1.0,0,0.0
"MESOS-8818",63,2.0,63,2.0,0,0.0
"MESOS-8814",9,3.0,9,"3.0",0,0.0
"MESOS-8813",14,3.0,14,"3.0",0,0.0
"MESOS-8810",15,3.0,15,"3.0",0,0.0
"MESOS-8801",35,-1.0,35,3.0,0,-4.0
"MESOS-8798",20,3.0,20,3.0,0,0.0
"MESOS-8787",13,1.0,13,1.0,0,0.0
"MESOS-8786",90,5.0,80,5.0,10,0.0
"MESOS-8784",26,3.0,26,3.0,0,0.0
"MESOS-8783",13,3.0,13,3.0,0,0.0
"MESOS-8782",25,3.0,25,3.0,0,0.0
"MESOS-8781",34,3.0,34,3.0,0,0.0
"MESOS-8777",24,5.0,24,5.0,0,0.0
"MESOS-8774",64,8.0,64,8.0,0,0.0
"MESOS-8772",0,2.0,0,2.0,0,0.0
"MESOS-8770",38,3.0,38,"3.0",0,0.0
"MESOS-8749",807,1.0,807,1.0,0,0.0
"MESOS-8748",17,3.0,17,3.0,0,0.0
"MESOS-8747",18,5.0,18,5.0,0,0.0
"MESOS-8742",74,2.0,74,2.0,0,0.0
"MESOS-8741",78,1.0,78,1.0,0,0.0
"MESOS-8737",16,3.0,28,3.0,-12,0.0
"MESOS-8736",42,3.0,42,3.0,0,0.0
"MESOS-8735",27,5.0,27,5.0,0,0.0
"MESOS-8734",39,3.0,29,3.0,10,0.0
"MESOS-8733",1765,1.0,1765,1.0,0,0.0
"MESOS-8732",42,8.0,42,8.0,0,0.0
"MESOS-8728",32,2.0,32,2.0,0,0.0
"MESOS-8724",183,2.0,169,2.0,14,0.0
"MESOS-8719",30,2.0,30,2.0,0,0.0
"MESOS-8717",12,5.0,12,"5.0",0,0.0
"MESOS-8714",24,3.0,24,3.0,0,0.0
"MESOS-8713",44,3.0,44,3.0,0,0.0
"MESOS-8712",24,3.0,24,3.0,0,0.0
"MESOS-8711",8,1.0,8,1.0,0,0.0
"MESOS-8710",56,3.0,56,3.0,0,0.0
"MESOS-8706",57,5.0,57,5.0,0,0.0
"MESOS-8702",94,2.0,94,2.0,0,0.0
"MESOS-8698",17,3.0,14,3.0,3,0.0
"MESOS-8697",16,2.0,17,2.0,-1,0.0
"MESOS-8678",13,2.0,13,2.0,0,0.0
"MESOS-8657",8,3.0,8,3.0,0,0.0
"MESOS-8656",122,2.0,122,2.0,0,0.0
"MESOS-8653",28,2.0,25,"5.0",3,-3.0
"MESOS-8650",9,2.0,9,"1.0",0,1.0
"MESOS-8647",40,2.0,40,2.0,0,0.0
"MESOS-8642",0,-1.0,0,2.0,0,-3.0
"MESOS-8640",71,2.0,71,2.0,0,0.0
"MESOS-8624",80,8.0,68,8.0,12,0.0
"MESOS-8620",250,3.0,234,3.0,16,0.0
"MESOS-8613",651,2.0,647,2.0,4,0.0
"MESOS-8605",37,3.0,37,3.0,0,0.0
"MESOS-8604",50,2.0,50,2.0,0,0.0
"MESOS-8601",152,2.0,152,"2.0",0,0.0
