"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-26108",22,1.0,21,1.0,1,0.0
"TIMOB-26106",20,3.0,20,"5.0",0,-2.0
"TIMOB-26102",89,5.0,89,5.0,0,0.0
"TIMOB-26097",191,3.0,57,3.0,134,0.0
"TIMOB-26090",19,0.0,19,"0.0",0,0.0
"TIMOB-26089",18,8.0,18,8.0,0,0.0
"TIMOB-26086",87,8.0,87,"8.0",0,0.0
"TIMOB-26085",78,5.0,86,5.0,-8,0.0
"TIMOB-26081",64,5.0,64,5.0,0,0.0
"TIMOB-26080",237,5.0,237,5.0,0,0.0
"TIMOB-26078",9,3.0,9,3.0,0,0.0
"TIMOB-26077",21,5.0,21,5.0,0,0.0
"TIMOB-26075",202,-1.0,202,13.0,0,-14.0
"TIMOB-26067",22,8.0,19,8.0,3,0.0
"TIMOB-26066",32,8.0,32,8.0,0,0.0
"TIMOB-26065",24,1.0,24,1.0,0,0.0
"TIMOB-26063",123,-1.0,123,3.0,0,-4.0
"TIMOB-26055",111,3.0,111,3.0,0,0.0
"TIMOB-26051",74,2.0,74,2.0,0,0.0
"TIMOB-26048",13,13.0,12,13.0,1,0.0
"TIMOB-26045",69,13.0,69,"8.0",0,5.0
"TIMOB-26036",130,8.0,130,8.0,0,0.0
"TIMOB-26033",144,1.0,144,"1.0",0,0.0
"TIMOB-26030",118,-1.0,118,7.0,0,-8.0
"TIMOB-26028",52,13.0,16,13.0,36,0.0
"TIMOB-26027",82,3.0,82,3.0,0,0.0
"TIMOB-26025",16,13.0,16,13.0,0,0.0
"TIMOB-26023",16,13.0,16,13.0,0,0.0
"TIMOB-26022",16,15.0,16,15.0,0,0.0
"TIMOB-26021",35,-1.0,35,"5.0",0,-6.0
"TIMOB-26014",102,13.0,102,13.0,0,0.0
"TIMOB-26010",99,3.0,99,3.0,0,0.0
"TIMOB-26009",13,1.0,13,1.0,0,0.0
"TIMOB-26008",118,2.0,116,2.0,2,0.0
"TIMOB-26007",12,13.0,12,13.0,0,0.0
"TIMOB-26006",18,5.0,18,5.0,0,0.0
"TIMOB-26005",15,21.0,15,21.0,0,0.0
"TIMOB-26004",15,21.0,15,21.0,0,0.0
"TIMOB-26003",15,21.0,14,21.0,1,0.0
"TIMOB-26000",13,8.0,13,8.0,0,0.0
"TIMOB-25997",20,13.0,21,13.0,-1,0.0
"TIMOB-25995",8,13.0,8,13.0,0,0.0
"TIMOB-25994",6,13.0,6,13.0,0,0.0
"TIMOB-25990",208,5.0,208,5.0,0,0.0
"TIMOB-25989",169,5.0,169,5.0,0,0.0
"TIMOB-25983",153,8.0,153,8.0,0,0.0
"TIMOB-25979",123,3.0,122,3.0,1,0.0
"TIMOB-25977",105,2.0,107,2.0,-2,0.0
"TIMOB-25965",22,3.0,22,3.0,0,0.0
"TIMOB-25964",14,-1.0,14,2.0,0,-3.0
"TIMOB-25963",32,5.0,32,5.0,0,0.0
"TIMOB-25955",39,21.0,39,"21.0",0,0.0
"TIMOB-25953",116,7.0,68,7.0,48,0.0
"TIMOB-25952",423,1.0,423,1.0,0,0.0
"TIMOB-25950",13,1.0,8,1.0,5,0.0
"TIMOB-25949",197,8.0,72,8.0,125,0.0
"TIMOB-25946",8,5.0,8,"8.0",0,-3.0
"TIMOB-25943",39,5.0,28,5.0,11,0.0
"TIMOB-25942",432,13.0,432,13.0,0,0.0
"TIMOB-25941",240,3.0,240,"3.0",0,0.0
"TIMOB-25939",271,3.0,271,3.0,0,0.0
"TIMOB-25937",189,3.0,175,3.0,14,0.0
"TIMOB-25936",108,1.0,107,1.0,1,0.0
"TIMOB-25935",38,5.0,39,5.0,-1,0.0
"TIMOB-25933",8,8.0,8,8.0,0,0.0
"TIMOB-25932",181,3.0,26,3.0,155,0.0
"TIMOB-25931",13,3.0,13,3.0,0,0.0
"TIMOB-25927",52,42.0,30,42.0,22,0.0
"TIMOB-25923",26,13.0,104,13.0,-78,0.0
"TIMOB-25919",93,2.0,93,2.0,0,0.0
"TIMOB-25917",95,3.0,93,3.0,2,0.0
"TIMOB-25914",100,1.0,100,1.0,0,0.0
"TIMOB-25913",152,5.0,152,5.0,0,0.0
"TIMOB-25910",72,2.0,63,"2.0",9,0.0
"TIMOB-25908",39,13.0,39,13.0,0,0.0
