"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,0,0,0,2,"2015-04-15T08:19:43.000+0000",False,True,False,False,"CLOV-1679","Bug"
0,0,0,0,0,"2015-03-31T19:32:32.000+0000",False,False,False,False,"CLOV-1675","Task"
0,0,0,0,0,"2015-03-30T09:56:50.000+0000",False,False,False,False,"CLOV-1672","Task"
0,0,0,0,0,"2015-03-03T10:57:57.000+0000",False,True,True,False,"CLOV-1657","Bug"
0,0,0,0,0,"2015-02-19T15:07:27.000+0000",False,False,False,False,"CLOV-1644","Task"
0,0,0,0,0,"2015-02-10T14:33:38.000+0000",False,True,False,False,"CLOV-1632","Improvement"
0,0,0,1,0,"2015-01-27T13:38:02.000+0000",False,True,True,False,"CLOV-1613","Bug"
0,0,0,0,0,"2015-01-26T10:30:35.000+0000",False,False,False,False,"CLOV-1610","Improvement"
0,0,0,0,0,"2015-01-17T13:13:37.000+0000",False,False,False,False,"CLOV-1608","Improvement"
0,1,0,0,0,"2015-01-09T11:15:27.000+0000",False,True,False,False,"CLOV-1605","Improvement"
0,0,0,0,0,"2014-12-27T13:07:04.000+0000",False,False,False,False,"CLOV-1596","Sub-task"
0,0,0,0,1,"2014-12-27T12:20:56.000+0000",False,True,True,False,"CLOV-1595","Bug"
0,0,0,0,0,"2014-11-15T11:53:31.000+0000",False,False,False,False,"CLOV-1584","Improvement"
0,0,0,0,0,"2014-11-12T14:06:53.000+0000",False,False,False,False,"CLOV-1582","Task"
0,0,0,0,0,"2014-10-13T11:56:40.000+0000",False,False,False,False,"CLOV-1572","Bug"
0,0,0,0,0,"2014-10-13T08:50:02.000+0000",True,False,False,False,"CLOV-1570","Bug"
0,0,0,0,0,"2014-10-13T08:48:15.000+0000",True,False,False,False,"CLOV-1569","Bug"
0,0,0,0,0,"2014-10-09T10:53:15.000+0000",True,False,False,False,"CLOV-1567","Bug"
0,0,0,0,2,"2014-10-07T10:19:20.000+0000",False,True,True,False,"CLOV-1561","Bug"
0,0,0,0,0,"2014-10-01T10:51:10.000+0000",False,False,False,False,"CLOV-1557","Improvement"
0,0,0,0,0,"2014-08-21T18:57:52.000+0000",False,True,False,False,"CLOV-1547","Bug"
0,0,0,0,0,"2014-08-21T08:30:19.000+0000",False,True,False,False,"CLOV-1546","Bug"
0,0,0,0,0,"2014-08-18T10:48:05.000+0000",False,False,False,False,"CLOV-1544","Task"
