"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,1,0,0,0,"2018-09-13T06:09:33.000+0000",False,False,False,False,"TIMOB-26388","Bug"
1,0,1,1,0,"2018-09-08T09:44:59.000+0000",False,True,False,False,"TIMOB-26372","Bug"
1,1,1,1,0,"2018-09-07T14:36:28.000+0000",False,True,False,False,"TIMOB-26371","Bug"
0,0,0,0,3,"2018-09-06T21:04:52.000+0000",False,True,False,False,"TIMOB-26360","Bug"
0,1,0,0,1,"2018-09-05T17:41:59.000+0000",False,False,False,False,"TIMOB-26357","Improvement"
0,1,0,0,1,"2018-09-05T17:41:41.000+0000",False,False,False,False,"TIMOB-26356","Improvement"
0,1,0,0,1,"2018-09-05T17:41:17.000+0000",False,False,False,False,"TIMOB-26355","Improvement"
0,1,0,0,0,"2018-08-28T15:04:46.000+0000",False,False,False,False,"TIMOB-26340","Improvement"
0,0,0,0,1,"2018-08-23T17:52:40.000+0000",True,False,False,False,"TIMOB-26333","Bug"
0,0,0,0,0,"2018-08-23T03:21:45.000+0000",True,False,False,False,"TIMOB-26331","Improvement"
0,1,0,0,0,"2018-08-20T22:16:11.000+0000",False,True,True,False,"TIMOB-26329","Bug"
0,0,0,0,0,"2018-08-20T21:20:29.000+0000",False,False,False,False,"TIMOB-26325","Bug"
0,1,0,0,0,"2018-08-17T12:30:32.000+0000",False,False,False,False,"TIMOB-26313","Bug"
0,0,0,0,0,"2018-08-16T19:08:17.000+0000",False,True,False,False,"TIMOB-26311","Story"
0,0,0,0,0,"2018-08-15T04:01:37.000+0000",False,True,False,False,"TIMOB-26306","Improvement"
0,0,0,0,0,"2018-08-13T17:47:30.000+0000",True,True,False,True,"TIMOB-26295","Bug"
0,2,0,0,0,"2018-08-09T09:54:37.000+0000",False,False,False,False,"TIMOB-26278","Improvement"
0,0,0,0,0,"2018-08-08T11:27:00.000+0000",False,False,False,False,"TIMOB-26275","Story"
0,0,0,0,4,"2018-08-02T01:38:40.000+0000",False,True,False,False,"TIMOB-26250","Improvement"
0,0,0,5,3,"2018-07-31T22:53:02.000+0000",False,True,False,False,"TIMOB-26249","Bug"
0,1,0,0,4,"2018-07-27T11:15:23.000+0000",True,False,False,False,"TIMOB-26242","Bug"
0,1,0,0,0,"2018-07-24T18:58:32.000+0000",False,False,False,False,"TIMOB-26235","New Feature"
0,0,0,0,0,"2018-07-20T13:28:50.000+0000",True,True,False,False,"TIMOB-26222","Bug"
0,0,0,0,0,"2018-07-20T13:24:49.000+0000",True,True,False,False,"TIMOB-26221","Story"
0,0,0,0,0,"2018-07-19T21:21:58.000+0000",False,True,False,False,"TIMOB-26218","Improvement"
0,0,0,5,0,"2018-07-18T02:16:15.000+0000",False,True,False,False,"TIMOB-26217","Bug"
0,1,0,3,0,"2018-07-14T15:44:40.000+0000",False,True,False,False,"TIMOB-26213","Bug"
1,0,0,3,2,"2018-07-13T21:04:52.000+0000",True,True,False,False,"TIMOB-26211","Bug"
0,0,0,0,0,"2018-07-13T03:37:46.000+0000",False,True,False,False,"TIMOB-26210","Improvement"
0,0,1,3,0,"2018-07-12T12:42:11.000+0000",False,True,False,False,"TIMOB-26207","Bug"
1,3,1,1,0,"2018-07-12T10:44:27.000+0000",False,True,False,False,"TIMOB-26206","Bug"
0,0,0,0,0,"2018-07-11T12:29:27.000+0000",True,True,False,False,"TIMOB-26205","Bug"
0,1,0,0,0,"2018-07-11T15:21:30.000+0000",False,True,False,False,"TIMOB-26204","Bug"
0,0,0,0,0,"2018-07-05T13:42:27.000+0000",False,True,False,False,"TIMOB-26184","Bug"
0,0,0,0,0,"2018-07-03T07:49:14.000+0000",False,True,True,False,"TIMOB-26182","Bug"
0,0,0,0,1,"2018-07-03T21:01:33.000+0000",False,False,False,False,"TIMOB-26181","Bug"
1,0,1,1,0,"2018-07-03T12:23:29.000+0000",False,True,False,False,"TIMOB-26179","Bug"
1,1,0,8,0,"2018-07-03T00:04:40.000+0000",False,True,False,False,"TIMOB-26177","Bug"
0,0,0,0,0,"2018-07-02T10:55:17.000+0000",False,True,False,False,"TIMOB-26173","Improvement"
1,1,0,9,0,"2018-06-30T02:49:09.000+0000",False,True,False,False,"TIMOB-26172","Bug"
0,0,0,7,0,"2018-06-28T18:59:46.000+0000",False,True,False,False,"TIMOB-26167","Bug"
0,0,0,0,0,"2018-06-27T01:09:52.000+0000",False,True,False,False,"TIMOB-26159","Bug"
0,0,0,0,0,"2018-06-25T06:06:03.000+0000",False,True,False,False,"TIMOB-26152","Bug"
0,1,0,0,0,"2018-06-23T13:44:08.000+0000",False,False,False,False,"TIMOB-26151","Bug"
0,2,0,0,0,"2018-06-22T16:03:34.000+0000",True,True,False,False,"TIMOB-26150","Bug"
0,0,0,0,0,"2018-06-22T15:13:52.000+0000",False,False,False,False,"TIMOB-26149","Bug"
0,0,0,0,4,"2018-06-21T02:28:01.000+0000",False,True,False,False,"TIMOB-26144","Improvement"
0,0,0,4,0,"2018-06-06T03:54:59.000+0000",False,True,False,False,"TIMOB-26141","Bug"
