"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"TISTUD-8847","Bug","2017-08-17T08:06:51.000+0000",2,1,0,True,True,False,0,False,0
"TISTUD-8846","Bug","2017-08-17T06:33:14.000+0000",2,1,0,True,True,False,0,False,0
"TISTUD-8840","Improvement","2017-08-09T17:58:38.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8838","Bug","2017-08-03T06:05:19.000+0000",0,0,0,True,True,False,0,True,0
"TISTUD-8836","Improvement","2017-08-02T04:19:24.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8835","Improvement","2017-08-02T04:12:05.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-8819","Bug","2017-07-13T07:59:11.000+0000",4,1,1,False,False,False,0,True,0
"TISTUD-8795","Bug","2017-06-14T07:35:48.000+0000",0,0,0,True,False,False,0,True,0
"TISTUD-8794","Bug","2017-06-14T06:08:38.000+0000",0,0,0,True,True,False,0,False,1
"TISTUD-8791","Bug","2017-06-08T18:19:11.000+0000",0,0,0,True,False,False,0,False,1
"TISTUD-8788","Story","2017-06-06T12:04:31.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-8787","Improvement","2017-06-06T08:11:27.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8779","Bug","2017-05-31T15:55:35.000+0000",0,0,0,False,True,False,0,False,0
"TISTUD-8777","Bug","2017-05-30T09:30:44.000+0000",3,1,0,False,False,False,0,True,0
"TISTUD-8769","Bug","2017-05-17T12:52:56.000+0000",1,1,1,True,False,False,0,False,0
"TISTUD-8764","New Feature","2017-05-15T17:51:25.000+0000",0,0,0,False,False,False,3,False,3
"TISTUD-8760","Bug","2017-05-10T23:06:50.000+0000",4,0,1,True,True,False,2,True,0
"TISTUD-8750","Story","2017-05-02T13:10:55.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8747","Improvement","2017-04-28T10:54:24.000+0000",0,0,0,False,False,False,0,False,3
"TISTUD-8741","Bug","2017-04-13T03:03:15.000+0000",0,0,0,False,False,False,0,False,0
