"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
1,0,1,1,0,"2012-08-17T10:49:49.000+0000",True,False,False,False,"APSTUD-7311","Bug"
0,0,0,0,4,"2012-08-13T17:11:46.000+0000",False,False,False,False,"APSTUD-7297","Story"
0,0,0,0,4,"2012-08-09T09:18:57.000+0000",False,False,False,False,"APSTUD-7286","Improvement"
1,0,1,1,0,"2012-08-08T19:01:21.000+0000",True,False,False,False,"APSTUD-7277","Improvement"
0,1,0,0,2,"2012-08-03T12:10:46.000+0000",False,False,False,False,"APSTUD-7252","Bug"
0,1,0,0,6,"2012-08-03T12:08:05.000+0000",False,False,False,False,"APSTUD-7251","Bug"
0,0,0,0,0,"2012-08-02T17:04:32.000+0000",False,False,False,False,"APSTUD-7247","Improvement"
0,0,0,0,0,"2012-08-02T17:02:19.000+0000",False,False,False,False,"APSTUD-7246","Improvement"
0,0,0,0,2,"2012-08-02T09:43:36.000+0000",False,False,False,False,"APSTUD-7240","Story"
0,0,0,0,3,"2012-08-02T09:33:45.000+0000",False,False,False,False,"APSTUD-7239","Story"
0,1,0,0,2,"2012-08-02T09:28:55.000+0000",False,False,False,False,"APSTUD-7238","Story"
0,0,0,0,2,"2012-07-30T22:39:26.000+0000",False,True,True,False,"APSTUD-7219","Bug"
0,0,0,0,0,"2012-07-30T12:55:28.000+0000",True,False,False,False,"APSTUD-7217","Bug"
0,0,0,0,0,"2012-07-23T03:46:33.000+0000",False,True,False,False,"APSTUD-7176","Bug"
0,0,0,0,0,"2012-07-17T05:54:11.000+0000",False,False,False,False,"APSTUD-7160","Bug"
0,0,0,0,0,"2012-07-17T05:26:01.000+0000",False,True,True,False,"APSTUD-7159","Bug"
0,0,0,0,0,"2012-07-12T02:44:58.000+0000",True,False,True,False,"APSTUD-5040","Bug"
0,0,0,0,0,"2012-07-11T15:12:45.000+0000",False,False,False,False,"APSTUD-5038","Bug"
0,1,0,0,0,"2012-07-11T05:07:02.000+0000",True,False,False,False,"APSTUD-5028","Bug"
0,0,0,0,0,"2012-07-09T07:41:09.000+0000",True,False,False,False,"APSTUD-5018","Bug"
1,0,1,3,0,"2012-07-09T06:44:48.000+0000",False,False,False,False,"APSTUD-5017","Bug"
1,0,1,3,0,"2012-07-09T01:45:53.000+0000",True,False,False,False,"APSTUD-5015","Bug"
0,0,0,0,0,"2012-07-05T14:28:21.000+0000",True,True,True,False,"APSTUD-5002","Bug"
1,0,1,1,0,"2012-07-04T08:23:26.000+0000",True,False,False,False,"APSTUD-4998","Bug"
0,0,0,0,0,"2012-07-03T09:11:33.000+0000",False,True,True,False,"APSTUD-4994","Improvement"
0,0,0,0,0,"2012-07-03T09:05:09.000+0000",False,True,True,False,"APSTUD-4992","Bug"
0,0,0,0,0,"2012-07-03T09:01:20.000+0000",False,True,True,False,"APSTUD-4991","Bug"
1,0,1,2,0,"2012-07-03T06:24:07.000+0000",True,False,False,False,"APSTUD-4986","Bug"
0,0,0,0,0,"2012-07-03T02:34:51.000+0000",False,True,True,False,"APSTUD-4983","Bug"
0,0,0,0,0,"2012-07-01T00:55:47.000+0000",True,False,False,False,"APSTUD-4975","Bug"
0,1,0,0,5,"2012-06-21T07:13:00.000+0000",True,False,False,False,"APSTUD-4944","Bug"
1,0,1,2,0,"2012-06-19T19:47:39.000+0000",True,False,False,False,"APSTUD-4937","Bug"
1,1,1,1,0,"2012-01-31T13:29:13.000+0000",False,False,True,False,"APSTUD-4935","Bug"
0,0,0,0,0,"2012-06-18T11:10:49.000+0000",False,False,False,False,"APSTUD-4925","Improvement"
0,0,0,0,3,"2012-06-18T00:58:10.000+0000",True,False,False,False,"APSTUD-4921","Bug"
0,0,0,0,0,"2012-06-17T19:31:32.000+0000",False,True,True,False,"APSTUD-4920","Bug"
