"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"XD-3349","Story","2015-08-05T10:28:20.000+0000",0,0,0,False,False,False,0,False,0
"XD-3347","Story","2015-08-05T09:18:22.000+0000",0,0,0,False,False,False,0,False,0
"XD-3346","Bug","2015-08-05T07:24:58.000+0000",0,0,0,False,False,False,0,False,1
"XD-3344","Story","2015-08-04T17:27:51.000+0000",0,0,0,True,False,False,0,False,1
"XD-3341","Story","2015-08-04T14:15:31.000+0000",0,0,0,False,False,False,0,False,0
"XD-3338","Bug","2015-08-04T13:58:43.000+0000",0,0,0,False,False,False,0,False,0
"XD-3335","Bug","2015-08-04T12:55:47.000+0000",0,0,0,False,False,False,0,False,0
"XD-3334","Story","2015-08-04T09:09:40.000+0000",0,0,0,False,False,False,0,False,1
"XD-3332","Story","2015-08-04T08:57:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3331","Story","2015-08-04T08:56:28.000+0000",0,0,0,False,False,False,0,False,0
"XD-3330","Story","2015-08-04T08:54:49.000+0000",0,0,0,False,False,False,0,False,0
"XD-3329","Story","2015-08-04T08:53:24.000+0000",0,0,0,False,False,False,0,False,0
"XD-3328","Story","2015-08-04T08:52:41.000+0000",0,0,0,False,False,False,0,False,0
"XD-3326","Story","2015-08-04T08:49:07.000+0000",0,0,0,False,False,False,0,False,0
"XD-3325","Story","2015-08-04T08:43:58.000+0000",0,0,0,False,False,False,0,False,0
"XD-3321","Bug","2015-08-03T14:57:35.000+0000",0,0,0,True,False,False,0,False,1
"XD-3320","Story","2015-08-03T10:45:45.000+0000",0,0,0,False,False,False,0,False,0
"XD-3319","Story","2015-08-03T10:30:39.000+0000",0,0,0,True,False,False,0,False,0
"XD-3318","Story","2015-08-03T09:37:20.000+0000",0,0,0,True,False,False,0,False,0
"XD-3317","Story","2015-08-03T09:30:04.000+0000",0,0,0,True,False,False,0,False,0
"XD-3316","Story","2015-08-03T09:24:19.000+0000",0,0,0,False,False,False,0,False,1
"XD-3315","Story","2015-08-03T08:29:24.000+0000",0,0,0,True,False,False,0,False,0
"XD-3314","Story","2015-08-03T08:14:28.000+0000",0,0,0,True,False,False,0,False,0
"XD-3313","Story","2015-08-03T08:12:26.000+0000",0,0,0,False,False,False,0,False,0
"XD-3312","Story","2015-08-03T08:08:58.000+0000",0,0,0,True,False,False,0,False,0
"XD-3311","Story","2015-08-03T08:06:54.000+0000",0,0,0,True,False,False,0,False,0
"XD-3310","Story","2015-08-03T08:04:56.000+0000",0,0,0,True,False,False,0,False,0
"XD-3309","Story","2015-08-03T06:33:50.000+0000",0,0,0,False,False,False,0,False,0
"XD-3308","Bug","2015-07-30T12:00:44.000+0000",0,0,0,False,False,False,0,False,0
"XD-3303","Improvement","2015-07-28T10:25:18.000+0000",0,0,0,False,False,False,0,False,0
