issue_key,issuetype,created,sp_change,text_multinomial,text_gaussian,text_bernoulli,text_complement,GROUP
TISTUD-9055,Bug,2018-04-03T04:10:00.000+0000,FALSE,0.000760906,0,8.01E-25,0.028661837,A
TISTUD-9085,Improvement,2018-06-08T16:44:51.000+0000,FALSE,0.005737719,0,5.78E-31,0.182752593,A
TISTUD-5833,Improvement,2013-12-03T22:32:42.000+0000,FALSE,0.007348708,0,4.53E-31,0.222921075,A
TISTUD-7608,Bug,2015-06-23T16:56:47.000+0000,FALSE,0.001000101,0,3.13E-30,0.037344033,A
TISTUD-5823,Bug,2013-12-02T19:25:31.000+0000,FALSE,0.00099819,0,2.04E-30,0.037275262,A
TISTUD-7612,Bug,2015-06-24T21:02:39.000+0000,FALSE,0.001734392,0,2.21E-33,0.063077787,A
TISTUD-8641,Bug,2016-10-31T23:39:49.000+0000,FALSE,0.001062784,0,5.20E-33,0.03959435,A
TISTUD-6772,Bug,2014-08-06T21:25:34.000+0000,FALSE,0.002464488,0,1.03E-27,0.087370466,A
TISTUD-5421,Bug,2013-09-20T19:40:45.000+0000,FALSE,0.003197078,0,2.01E-31,0.11054511,A
TISTUD-5416,Improvement,2013-09-20T14:38:00.000+0000,FALSE,0.00244147,0,2.95E-18,0.086623297,A
TISTUD-6199,Story,2014-02-28T19:02:17.000+0000,FALSE,0.008821108,0,2.64E-28,0.256428179,A
TISTUD-9027,Bug,2018-03-09T03:48:13.000+0000,FALSE,0.005230069,0,1.01E-29,0.16924939,A
TISTUD-5283,Bug,2013-08-20T18:39:19.000+0000,FALSE,0.00804606,0,1.44E-24,0.23914671,A
TISTUD-8019,Bug,2016-03-08T21:34:53.000+0000,FALSE,0.001151792,0,1.11E-28,0.042772205,A
TISTUD-5360,Improvement,2013-09-06T23:20:37.000+0000,FALSE,0.00582194,0,7.65E-28,0.184951791,A
TISTUD-8531,Story,2016-07-08T10:22:12.000+0000,FALSE,0.003486031,0,1.65E-29,0.119374329,A
TISTUD-7639,Bug,2015-07-08T22:53:38.000+0000,FALSE,0.004307937,0,9.52E-29,0.143582519,A
TISTUD-6218,Story,2014-03-06T16:11:29.000+0000,FALSE,0.007379263,0,1.59E-28,0.223646007,A
TISTUD-9111,Bug,2018-08-17T06:24:24.000+0000,FALSE,0.004951109,0,6.46E-36,0.161643596,A
TISTUD-5510,Bug,2013-10-10T22:13:01.000+0000,FALSE,0.003777431,0,1.24E-31,0.128107568,A
TISTUD-5247,Bug,2013-08-12T14:50:53.000+0000,FALSE,0.002782305,0,2.85E-14,0.097566687,A
TISTUD-2978,Improvement,2012-12-05T17:08:31.000+0000,FALSE,0.006031844,0,2.44E-25,0.190383273,A
TISTUD-9027,Bug,2018-03-09T03:48:13.000+0000,FALSE,0.005230069,0,1.01E-29,0.16924939,A
TISTUD-6123,Improvement,2014-02-01T03:44:01.000+0000,FALSE,0.004954376,0,9.30E-27,0.161733448,A
TISTUD-7619,Bug,2015-06-26T18:32:10.000+0000,FALSE,0.00104093,0,1.78E-32,0.038810956,A
TISTUD-3142,Improvement,2013-01-07T17:31:34.000+0000,FALSE,0.004489077,0,4.83E-34,0.148745018,A
TISTUD-6250,Bug,2014-03-12T05:35:03.000+0000,FALSE,0.001558642,0,6.66E-26,0.05704116,A
TISTUD-9086,Improvement,2018-06-11T10:57:12.000+0000,FALSE,0.00462182,0,2.37E-33,0.152490014,A
TISTUD-9111,Bug,2018-08-17T06:24:24.000+0000,FALSE,0.004951109,0,6.46E-36,0.161643596,A
TISTUD-5322,Improvement,2013-08-27T13:20:07.000+0000,FALSE,0.001177225,0,1.90E-30,0.043676459,A
TISTUD-5079,Story,2013-07-03T18:39:38.000+0000,FALSE,0.014891427,0,4.22E-19,0.369389807,A
TISTUD-7479,Bug,2015-05-06T00:48:26.000+0000,FALSE,0.002148184,0,1.68E-27,0.076998054,A
TISTUD-9004,Bug,2018-02-06T09:44:15.000+0000,FALSE,0.009818398,0,1.47E-33,0.27757957,A
TISTUD-6261,Bug,2014-03-20T20:54:38.000+0000,FALSE,0.001366649,0,5.09E-29,0.050359556,A
TISTUD-5492,Story,2013-10-08T23:08:23.000+0000,TRUE,0.006582435,0,6.00E-34,0.204302796,A
TISTUD-5046,Story,2013-06-28T20:52:37.000+0000,FALSE,0.001626011,0,6.77E-31,0.059364045,A
TISTUD-7916,Bug,2015-12-16T08:14:14.000+0000,FALSE,0.00741721,0,1.52E-29,0.224544498,A
TISTUD-5680,Improvement,2013-11-09T00:51:55.000+0000,FALSE,0.001302357,0,4.74E-28,0.048101459,A
TISTUD-6940,Bug,2014-09-17T17:52:07.000+0000,TRUE,0.016324903,1,2.29E-11,0.391389997,A
TISTUD-6458,Bug,2014-05-12T23:54:41.000+0000,FALSE,0.016990451,0,1.71E-29,0.40111135,A
TISTUD-8902,Bug,2017-10-31T01:20:19.000+0000,FALSE,0.001921729,0,6.81E-32,0.069430182,A
TISTUD-5067,Improvement,2013-07-03T14:01:21.000+0000,FALSE,0.001681447,0,4.29E-21,0.061267161,A
TISTUD-6778,Improvement,2014-08-08T01:03:16.000+0000,FALSE,0.008354058,0,9.99E-30,0.246106263,A
TISTUD-7450,Improvement,2015-04-24T16:20:30.000+0000,FALSE,0.002885946,0,2.20E-33,0.100843999,A
TISTUD-8936,Bug,2017-11-29T23:11:16.000+0000,FALSE,0.001714362,0,4.08E-28,0.062393583,A
