"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"MESOS-3252",False,"train",0.0,0.0,0.0,0.0,0.0,0.9880250692367554,0.0,0.0,0.0,0.0,0.0
"MESOS-9639",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917986989021301,0.0,0.0
"MESOS-9056",False,"train",0.0,0.0,0.0,0.0,0.0,0.989381730556488,0.0,0.0,0.0,0.0,0.0
"MESOS-7007",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919463396072388,0.0,0.0
"MESOS-3519",False,"train",0.010112117975950241,0.010112341493368149,0.010111930780112743,0.010112229734659195,0.898876965045929,0.010112322866916656,0.010113232769072056,0.010112060233950615,0.010111927054822445,0.010112171061336994,0.01011265441775322
"MESOS-2404",False,"train",0.0,0.0,0.0,0.0,0.0,0.03287661820650101,0.0,0.0,0.0,0.0,0.9240010976791382
"MESOS-2851",False,"train",0.012992402538657188,0.01299117412418127,0.01299201138317585,0.8700827360153198,0.012992016039788723,0.012991067953407764,0.012991449795663357,0.012990906834602356,0.01299121230840683,0.012991846539080143,0.012993156909942627
"MESOS-1199",False,"train",0.0,0.0,0.0,0.0,0.9917160868644714,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3861",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636266827583313,0.0,0.0
"MESOS-7007",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919463396072388,0.0,0.0
"MESOS-3525",False,"train",0.0,0.9586407542228699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2750",False,"train",0.0,0.0,0.0,0.0,0.0,0.26442772150039673,0.6945921778678894,0.0,0.0,0.0,0.0
"MESOS-6991",False,"train",0.0,0.0,0.0,0.9620802998542786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4088",False,"train",0.0,0.0,0.0,0.0,0.0,0.5755447745323181,0.0,0.0,0.4010167121887207,0.0,0.0
"MESOS-4500",False,"train",0.0,0.44376060366630554,0.0,0.0,0.0,0.0,0.0,0.0,0.5153066515922546,0.0,0.0
