"issue_key","storypoints","issuetype","time_in_status"
"XD-3214",2.0,"Bug",79.92833
"XD-3206",1.0,"Bug",0.02056
"XD-3205",1.0,"Story",1.72306
"XD-3204",5.0,"Story",146.97778
"XD-3202",8.0,"Story",94.55861
"XD-3198",8.0,"Story",167.33333
"XD-3196",8.0,"Story",313.53056
"XD-3194",8.0,"Story",119.1175
"XD-3193",8.0,"Story",241.67472
"XD-3192",8.0,"Story",269.92972
"XD-3189",3.0,"Story",89.68028
"XD-3188",1.0,"Bug",20.25083
"XD-3187",1.0,"Bug",0.27528
"XD-3184",1.0,"Story",0.00167
"XD-3183",1.0,"Story",30.83139
"XD-3178",1.0,"Bug",0.00583
"XD-3177",1.0,"Story",1.60056
"XD-3176",3.0,"Bug",0.00222
"XD-3172",2.0,"Story",0.00194
"XD-3171",5.0,"Bug",0.0025
"XD-3170",1.0,"Story",0.01667
"XD-3169",8.0,"Story",219.27056
"XD-3166",8.0,"Story",160.13694
"XD-3164",3.0,"Story",25.21944
"XD-3162",3.0,"Story",482.68667
"XD-3161",3.0,"Story",6.82917
"XD-3160",2.0,"Story",0.00417
"XD-3154",1.0,"Story",2.96139
"XD-3153",1.0,"Story",0.09444
"XD-3152",1.0,"Story",0.09056
"XD-3151",1.0,"Story",5.40333
"XD-3150",3.0,"Bug",0.00278
"XD-3148",3.0,"Story",0.25611
"XD-3142",1.0,"Bug",23.89417
"XD-3141",5.0,"Bug",0.69222
"XD-3140",1.0,"Story",0.13111
"XD-3139",2.0,"Story",50.80389
"XD-3137",1.0,"Story",1.17611
"XD-3135",2.0,"Bug",0.00722
"XD-3133",1.0,"Bug",0.00639
"XD-3132",3.0,"Bug",0.16
"XD-3131",1.0,"Bug",0.00111
"XD-3130",1.0,"Bug",0.00167
"XD-3127",1.0,"Story",0.69833
"XD-3126",3.0,"Story",118.90417
"XD-3125",2.0,"Story",118.905
"XD-3124",3.0,"Bug",24.51333
"XD-3123",1.0,"Bug",0.00083
"XD-3118",2.0,"Story",197.25833
"XD-3117",1.0,"Story",0.00333
"XD-3116",3.0,"Story",0.00417
"XD-3115",1.0,"Story",0.0025
"XD-3114",2.0,"Story",44.86861
"XD-3113",3.0,"Story",1.98028
"XD-3112",2.0,"Story",0.00194
"XD-3111",1.0,"Story",0.14333
"XD-3110",2.0,"Story",2.25833
"XD-3107",3.0,"Story",3.71194
"XD-3106",2.0,"Story",0.00889
"XD-3105",1.0,"Story",2.16472
"XD-3104",1.0,"Story",1.40417
"XD-3103",3.0,"Story",0.7325
"XD-3102",8.0,"Story",239.40167
"XD-3101",1.0,"Story",0.465
"XD-3098",5.0,"Story",0.00167
"XD-3096",3.0,"Story",0.01528
"XD-3095",1.0,"Story",0.05472
"XD-3094",2.0,"Bug",21.95889
"XD-3093",1.0,"Bug",0.00194
"XD-3092",2.0,"Story",0.00444
"XD-3091",1.0,"Story",3.07278
"XD-3090",2.0,"Bug",0.01111
"XD-3089",1.0,"Story",0.555
"XD-3086",1.0,"Bug",0.00222
"XD-3082",3.0,"Story",3.01917
"XD-3081",3.0,"Bug",49.43194
"XD-3079",5.0,"Bug",0.00444
"XD-3078",8.0,"Bug",1252.02833
"XD-3077",3.0,"Story",0.03611
"XD-3076",1.0,"Story",6.84083
"XD-3075",1.0,"Bug",0.41278
"XD-3074",1.0,"Bug",0.40361
"XD-3072",3.0,"Story",33.80694
"XD-3071",8.0,"Story",39.645
"XD-3070",5.0,"Story",335.29722
"XD-3066",3.0,"Story",0.00167
"XD-3064",3.0,"Bug",0.18222
"XD-3063",3.0,"Story",3.51194
"XD-3061",3.0,"Improvement",75.22056
"XD-3056",8.0,"Story",0.00111
"XD-3054",1.0,"Bug",0.00111
"XD-3052",2.0,"Story",15.69889
"XD-3051",1.0,"Bug",0.00167
"XD-3050",3.0,"Story",0.00389
