"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-7552",5.0,"Bug",0.0025
"TISTUD-7546",8.0,"Story",1083.84056
"TISTUD-7538",5.0,"Bug",0.035
"TISTUD-7531",8.0,"Bug",51.49472
"TISTUD-7529",5.0,"Bug",20.67361
"TISTUD-7526",3.0,"Improvement",0.00306
"TISTUD-7523",3.0,"Bug",0.60611
"TISTUD-7522",5.0,"Bug",0.03528
"TISTUD-7517",8.0,"Bug",10.64222
"TISTUD-7512",5.0,"Bug",183.15361
"TISTUD-7511",8.0,"Bug",3.56556
"TISTUD-7508",1.0,"Bug",0.2225
"TISTUD-7506",5.0,"Improvement",6.92667
"TISTUD-7505",5.0,"New Feature",0.90722
"TISTUD-7504",13.0,"New Feature",145.22528
"TISTUD-7498",3.0,"Bug",0.28167
"TISTUD-7495",5.0,"Bug",3.98778
"TISTUD-7493",5.0,"Improvement",2.45528
"TISTUD-7491",3.0,"Improvement",0.89056
"TISTUD-7488",5.0,"Bug",21.51056
"TISTUD-7485",5.0,"Bug",0.99861
"TISTUD-7484",5.0,"Bug",0.01
"TISTUD-7482",8.0,"Bug",0.75972
"TISTUD-7479",3.0,"Bug",0.365
"TISTUD-7477",3.0,"Bug",0.26194
"TISTUD-7476",5.0,"Bug",8.40694
"TISTUD-7475",5.0,"Bug",5.03083
"TISTUD-7474",3.0,"Bug",22.66333
"TISTUD-7473",3.0,"Bug",2.56
"TISTUD-7467",3.0,"Bug",0.01306
"TISTUD-7466",3.0,"Story",0.20417
"TISTUD-7463",5.0,"Bug",0.08
"TISTUD-7462",5.0,"Bug",0.23667
"TISTUD-7461",3.0,"Bug",3.93111
"TISTUD-7460",3.0,"Improvement",1.10361
"TISTUD-7459",2.0,"Bug",0.12611
"TISTUD-7456",5.0,"Bug",2.91722
"TISTUD-7453",5.0,"Bug",0.0025
"TISTUD-7450",5.0,"Improvement",2.01083
"TISTUD-7449",5.0,"Improvement",0.15889
"TISTUD-7447",5.0,"Bug",0.14528
"TISTUD-7446",3.0,"Bug",0.40333
"TISTUD-7442",13.0,"Bug",562.37222
"TISTUD-7440",5.0,"Bug",4.69139
"TISTUD-7437",3.0,"Bug",1.47222
"TISTUD-7431",5.0,"Bug",0.16417
