"issue_key","storypoints","issuetype","time_in_status"
"TIMOB-26051",2.0,"Improvement",0.13917
"TIMOB-26048",13.0,"Improvement",42.09083
"TIMOB-26045",8.0,"Bug",132.44444
"TIMOB-26036",8.0,"Bug",5.9725
"TIMOB-26033",8.0,"Bug",0.02972
"TIMOB-26030",7.0,"Bug",60.97667
"TIMOB-26028",13.0,"Improvement",0.00222
"TIMOB-26027",3.0,"Bug",0.0075
"TIMOB-26025",13.0,"Improvement",0.00361
"TIMOB-26023",13.0,"Improvement",0.00194
"TIMOB-26021",2.0,"Improvement",0.00139
"TIMOB-26014",13.0,"Bug",20.68861
"TIMOB-26010",3.0,"Bug",0.00167
"TIMOB-26009",1.0,"Story",0.39639
"TIMOB-26007",13.0,"Improvement",331.4375
"TIMOB-26006",5.0,"Improvement",0.00278
"TIMOB-26005",21.0,"New Feature",2.22444
"TIMOB-26004",21.0,"New Feature",1.89444
"TIMOB-26003",21.0,"New Feature",24.36194
"TIMOB-25990",5.0,"Bug",0.85944
"TIMOB-25989",5.0,"Bug",0.00278
"TIMOB-25983",8.0,"Bug",7.61222
"TIMOB-25979",3.0,"Bug",0.00306
"TIMOB-25977",2.0,"Bug",0.00833
"TIMOB-25965",3.0,"Improvement",98.26278
"TIMOB-25964",2.0,"Bug",0.19667
"TIMOB-25963",5.0,"Improvement",98.89972
"TIMOB-25955",34.0,"Improvement",5353.30194
"TIMOB-25953",7.0,"New Feature",528.39306
"TIMOB-25950",1.0,"Improvement",0.07889
"TIMOB-25949",8.0,"Bug",0.00194
"TIMOB-25946",5.0,"New Feature",0.00639
"TIMOB-25943",5.0,"Bug",69.67889
"TIMOB-25942",13.0,"Bug",0.015
"TIMOB-25941",5.0,"Improvement",114.50806
"TIMOB-25939",3.0,"Improvement",0.00361
"TIMOB-25937",3.0,"Improvement",0.00389
"TIMOB-25936",1.0,"Bug",0.15194
"TIMOB-25935",5.0,"Bug",0.74194
"TIMOB-25933",8.0,"New Feature",0.01056
"TIMOB-25932",3.0,"Bug",98.36639
"TIMOB-25931",3.0,"Improvement",0.00194
"TIMOB-25927",42.0,"Story",3012.56139
"TIMOB-25923",13.0,"New Feature",71.875
"TIMOB-25919",2.0,"Bug",0.12167
"TIMOB-25917",3.0,"Improvement",21.59139
"TIMOB-25914",1.0,"Bug",0.17806
"TIMOB-25913",5.0,"Bug",0.14
"TIMOB-25908",13.0,"New Feature",0.00556
"TIMOB-25897",2.0,"Bug",0.01639
"TIMOB-25895",8.0,"Improvement",37.14611
"TIMOB-25891",13.0,"Story",0.00833
"TIMOB-25890",8.0,"New Feature",19.16139
"TIMOB-25887",3.0,"Bug",0.44472
"TIMOB-25886",5.0,"Improvement",2.23056
"TIMOB-25882",8.0,"Bug",23.08861
"TIMOB-25881",5.0,"New Feature",0.00917
"TIMOB-25880",5.0,"Improvement",0.00167
"TIMOB-25878",2.0,"Improvement",0.14167
"TIMOB-25877",2.0,"Bug",0.13889
"TIMOB-25876",3.0,"Bug",94.43639
"TIMOB-25875",13.0,"Bug",0.12694
"TIMOB-25874",8.0,"Bug",0.08333
"TIMOB-25873",2.0,"Bug",286.72222
"TIMOB-25868",3.0,"New Feature",0.00333
"TIMOB-25865",3.0,"Improvement",0.0025
"TIMOB-25864",1.0,"Improvement",0.11917
"TIMOB-25861",3.0,"New Feature",0.0025
"TIMOB-25860",8.0,"Improvement",0.00167
"TIMOB-25845",13.0,"Bug",105.9925
"TIMOB-25844",5.0,"Improvement",20.23778
"TIMOB-25843",3.0,"Bug",0.31056
"TIMOB-25842",5.0,"Bug",0.045
"TIMOB-25839",8.0,"Bug",0.87833
"TIMOB-25835",8.0,"Bug",0.00083
"TIMOB-25829",5.0,"Bug",56.89361
"TIMOB-25827",5.0,"Bug",0.00333
"TIMOB-25825",3.0,"Bug",0.00444
"TIMOB-25819",8.0,"Bug",1.68833
"TIMOB-25810",13.0,"Bug",262.28694
"TIMOB-25805",1.0,"Bug",0.00444
"TIMOB-25801",8.0,"Bug",0.00583
"TIMOB-25799",3.0,"Bug",1.01667
"TIMOB-25797",2.0,"Bug",0.0025
"TIMOB-25796",8.0,"Bug",0.00333
"TIMOB-25795",8.0,"New Feature",0.42861
"TIMOB-25794",5.0,"Bug",0.41333
"TIMOB-25792",3.0,"Bug",30.37694
"TIMOB-25789",5.0,"Bug",849.44028
"TIMOB-25785",5.0,"Bug",419.26667
"TIMOB-25783",3.0,"Bug",0.0025
"TIMOB-25780",8.0,"Bug",16.58917
"TIMOB-25778",8.0,"New Feature",4.97944
"TIMOB-25776",8.0,"Bug",257.19778
"TIMOB-25775",5.0,"Bug",0.14611
"TIMOB-25774",5.0,"Story",0.00222
"TIMOB-25771",5.0,"Bug",50.02306
"TIMOB-25770",5.0,"Bug",0.00944
"TIMOB-25769",3.0,"Bug",43.55806
"TIMOB-25767",3.0,"Bug",0.07333
"TIMOB-25760",8.0,"Bug",574.62
"TIMOB-25757",3.0,"Bug",0.05528
"TIMOB-25756",5.0,"Bug",0.17611
"TIMOB-25755",11.0,"Bug",239.75444
"TIMOB-25753",1.0,"Bug",1.41806
"TIMOB-25749",2.0,"Bug",0.69083
"TIMOB-25748",13.0,"Improvement",3993.22611
"TIMOB-25744",8.0,"Bug",745.32917
"TIMOB-25743",5.0,"New Feature",0.00333
"TIMOB-25739",2.0,"Bug",0.18833
"TIMOB-25735",1.0,"Bug",0.02639
"TIMOB-25733",3.0,"Bug",31.96694
"TIMOB-25730",1.0,"Improvement",0.15583
"TIMOB-25728",8.0,"Bug",0.01111
"TIMOB-25703",1.0,"Improvement",0.15056
"TIMOB-25696",3.0,"Bug",0.00222
"TIMOB-25692",5.0,"Bug",0.00417
"TIMOB-25685",5.0,"Bug",18.94139
"TIMOB-25684",5.0,"New Feature",45.31333
"TIMOB-25679",1.0,"Bug",0.00111
"TIMOB-25672",5.0,"Bug",0.02833
"TIMOB-25671",13.0,"Bug",49.57833
"TIMOB-25668",5.0,"Improvement",0.00222
"TIMOB-25667",1.0,"Improvement",0.07139
"TIMOB-25660",1.0,"Bug",1.30806
"TIMOB-25656",3.0,"Bug",17.40528
"TIMOB-25652",3.0,"Bug",2.73
"TIMOB-25650",8.0,"Story",0.05778
"TIMOB-25648",13.0,"New Feature",190.61
"TIMOB-25641",5.0,"Story",0.00222
"TIMOB-25636",1.0,"Bug",24.79917
"TIMOB-25635",13.0,"New Feature",0.00167
"TIMOB-25634",1.0,"Bug",24.35056
"TIMOB-25626",5.0,"Bug",0.57722
"TIMOB-25625",1.0,"Bug",1.49528
"TIMOB-25621",3.0,"Bug",3.23333
"TIMOB-25620",8.0,"Bug",0.045
"TIMOB-25619",5.0,"Bug",3.20861
"TIMOB-25617",3.0,"Bug",71.56528
"TIMOB-25616",5.0,"Improvement",0.00694
"TIMOB-25611",4.0,"Story",8668.35222
"TIMOB-25607",5.0,"Story",0.12417
"TIMOB-25606",5.0,"Story",0.04694
"TIMOB-25602",5.0,"Bug",0.79861
"TIMOB-25599",13.0,"Bug",412.65389
"TIMOB-25598",5.0,"Bug",0.00306
"TIMOB-25597",8.0,"Bug",170.92583
"TIMOB-25595",5.0,"Bug",146.55472
"TIMOB-25582",8.0,"Improvement",7.81444
"TIMOB-25581",3.0,"Bug",0.01417
"TIMOB-25580",2.0,"Bug",0.18944
"TIMOB-25566",5.0,"Bug",0.01778
"TIMOB-25565",5.0,"Bug",0.91667
"TIMOB-25563",5.0,"Bug",166.45972
"TIMOB-25557",1.0,"Bug",1.27361
"TIMOB-25554",3.0,"Bug",1.36472
"TIMOB-25552",1.0,"Bug",0.71472
"TIMOB-25542",5.0,"Bug",575.00667
"TIMOB-25541",3.0,"Bug",72.99361
"TIMOB-25540",2.0,"Bug",0.00167
"TIMOB-25537",13.0,"New Feature",0.00278
"TIMOB-25533",3.0,"Improvement",0.42833
"TIMOB-25526",2.0,"Bug",3.48694
"TIMOB-25522",8.0,"Improvement",0.00806
"TIMOB-25518",2.0,"Bug",0.00278
"TIMOB-25515",1.0,"Bug",0.00833
"TIMOB-25513",5.0,"Bug",0.31333
"TIMOB-25510",1.0,"Improvement",0.00722
"TIMOB-25508",1.0,"Bug",0.15111
"TIMOB-25507",2.0,"Bug",0.00528
"TIMOB-25506",1.0,"Bug",0.00417
"TIMOB-25503",5.0,"Bug",6.12
"TIMOB-25487",3.0,"Bug",0.10444
"TIMOB-25483",3.0,"Improvement",0.02361
"TIMOB-25477",5.0,"Bug",0.65167
"TIMOB-25471",2.0,"Bug",0.27722
"TIMOB-25469",3.0,"Bug",0.17111
"TIMOB-25468",2.0,"Bug",0.00389
"TIMOB-25467",3.0,"Bug",0.01611
"TIMOB-25463",5.0,"Bug",52.68306
"TIMOB-25462",3.0,"Bug",0.74444
"TIMOB-25448",3.0,"Improvement",0.0025
"TIMOB-25442",1.0,"Improvement",0.00361
"TIMOB-25441",5.0,"Improvement",186.89194
"TIMOB-25440",5.0,"Bug",147.34361
"TIMOB-25433",5.0,"Improvement",1.91694
"TIMOB-25432",3.0,"Bug",24.55028
"TIMOB-25431",3.0,"Bug",0.06361
"TIMOB-25429",5.0,"Improvement",776.82556
"TIMOB-25420",1.0,"Bug",2.55667
"TIMOB-25418",5.0,"Improvement",0.16889
"TIMOB-25409",5.0,"Bug",3.04778
"TIMOB-25403",5.0,"Bug",1.03361
"TIMOB-25402",2.0,"Bug",0.02333
"TIMOB-25399",3.0,"Improvement",0.93917
"TIMOB-25385",5.0,"Bug",0.01361
"TIMOB-25382",2.0,"Bug",0.00472
"TIMOB-25377",5.0,"Bug",2.51833
"TIMOB-25376",3.0,"Bug",0.00278
"TIMOB-25372",5.0,"Bug",0.14194
"TIMOB-25363",3.0,"Bug",2.30861
"TIMOB-25362",13.0,"Story",0.01361
"TIMOB-25360",3.0,"Bug",2.52917
"TIMOB-25359",3.0,"Bug",0.47278
"TIMOB-25354",2.0,"Bug",0.31139
"TIMOB-25353",8.0,"Improvement",47.26333
"TIMOB-25352",3.0,"Bug",0.53889
"TIMOB-25347",2.0,"Bug",0.16611
"TIMOB-25345",5.0,"New Feature",0.005
"TIMOB-25327",5.0,"Bug",46.15778
"TIMOB-25326",5.0,"Bug",22.57333
"TIMOB-25325",5.0,"Bug",0.00278
"TIMOB-25324",2.0,"Bug",0.00167
"TIMOB-25323",5.0,"Bug",0.00222
"TIMOB-25314",8.0,"Bug",0.05167
"TIMOB-25313",21.0,"Bug",170.63333
"TIMOB-25306",5.0,"Bug",0.00694
"TIMOB-25303",5.0,"New Feature",15.17889
"TIMOB-25302",5.0,"New Feature",0.90056
"TIMOB-25298",5.0,"Bug",7.82806
"TIMOB-25291",3.0,"Bug",0.39833
"TIMOB-25285",2.0,"Bug",0.01306
"TIMOB-25284",3.0,"Bug",4.78361
"TIMOB-25282",5.0,"Bug",2.94722
"TIMOB-25277",3.0,"Story",147.89611
"TIMOB-25275",3.0,"Bug",0.00222
"TIMOB-25274",5.0,"Bug",48.55833
"TIMOB-25273",5.0,"Bug",7.82944
"TIMOB-25266",3.0,"Bug",26.11722
"TIMOB-25261",5.0,"Bug",61.3375
"TIMOB-25259",5.0,"Bug",0.92083
"TIMOB-25257",5.0,"Bug",23.43972
"TIMOB-25255",3.0,"Bug",2.64944
"TIMOB-25254",8.0,"Bug",7.81972
"TIMOB-25253",8.0,"Bug",7.82111
"TIMOB-25252",2.0,"Bug",0.31056
"TIMOB-25247",5.0,"Bug",22.76083
"TIMOB-25246",5.0,"Bug",18.52444
"TIMOB-25245",5.0,"Bug",18.52722
"TIMOB-25244",1.0,"Bug",0.12778
"TIMOB-25241",2.0,"Bug",0.1975
"TIMOB-25238",8.0,"Bug",18.5
"TIMOB-25237",5.0,"New Feature",0.00278
"TIMOB-25236",3.0,"New Feature",0.34167
"TIMOB-25233",5.0,"New Feature",1.12222
"TIMOB-25231",5.0,"Bug",0.1975
"TIMOB-25226",13.0,"Bug",0.1375
"TIMOB-25225",3.0,"Bug",0.00861
"TIMOB-25224",3.0,"Bug",100.41111
"TIMOB-25223",5.0,"Bug",0.14972
"TIMOB-25220",3.0,"Bug",69.06472
"TIMOB-25219",3.0,"Bug",0.07806
"TIMOB-25212",3.0,"Bug",0.21778
"TIMOB-25206",2.0,"Bug",0.00583
"TIMOB-25197",5.0,"New Feature",2.51889
"TIMOB-25192",5.0,"Bug",2.83306
"TIMOB-25188",3.0,"Improvement",1.09778
"TIMOB-25186",1.0,"Bug",0.09528
"TIMOB-25184",3.0,"Bug",12.28389
"TIMOB-25183",5.0,"Bug",0.00583
"TIMOB-25179",3.0,"Bug",0.005
"TIMOB-25178",5.0,"Bug",3.64361
"TIMOB-25175",5.0,"Bug",211.82361
"TIMOB-25174",5.0,"Bug",3.59694
"TIMOB-25166",1.0,"Bug",0.02611
"TIMOB-25086",21.0,"Bug",67.63111
"TIMOB-25081",3.0,"Bug",0.00833
"TIMOB-25078",3.0,"Bug",0.01417
"TIMOB-25076",5.0,"New Feature",174.71083
"TIMOB-25064",5.0,"Improvement",90.46917
"TIMOB-25060",3.0,"Story",0.00361
"TIMOB-25059",3.0,"Story",31.29583
"TIMOB-25057",13.0,"Improvement",1322.59306
"TIMOB-25055",5.0,"Bug",18.19611
"TIMOB-25048",8.0,"New Feature",9048.69972
"TIMOB-25045",21.0,"Story",2358.43222
"TIMOB-25044",3.0,"Bug",10.92
"TIMOB-25043",5.0,"Improvement",81.18583
"TIMOB-25038",3.0,"Bug",26.41444
"TIMOB-25031",5.0,"Bug",7.32861
"TIMOB-25028",2.0,"Bug",0.07028
"TIMOB-25027",3.0,"Bug",0.34889
"TIMOB-25023",5.0,"Bug",10.93222
"TIMOB-25021",5.0,"Bug",0.12472
"TIMOB-25014",5.0,"Bug",14.0725
"TIMOB-25013",3.0,"Bug",0.35611
"TIMOB-25010",1.0,"Bug",0.06917
"TIMOB-25003",13.0,"Bug",0.04861
"TIMOB-24984",8.0,"New Feature",60.38556
"TIMOB-24982",5.0,"New Feature",0.00194
"TIMOB-24977",3.0,"Bug",0.05333
"TIMOB-24975",3.0,"Improvement",26.41667
"TIMOB-24967",8.0,"Improvement",7.99611
"TIMOB-24966",3.0,"Bug",23.21417
"TIMOB-24964",5.0,"New Feature",0.13667
"TIMOB-24958",5.0,"Bug",1.55833
"TIMOB-24957",3.0,"Bug",0.00472
"TIMOB-24956",5.0,"Bug",311.24194
"TIMOB-24949",2.0,"Bug",0.00222
"TIMOB-24946",5.0,"Improvement",3.01889
"TIMOB-24942",5.0,"Bug",0.59972
"TIMOB-24934",5.0,"Bug",0.95167
"TIMOB-24933",3.0,"Bug",42.85944
"TIMOB-24928",5.0,"Bug",246.99306
"TIMOB-24926",2.0,"Bug",0.04528
