"collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","issue_key","reporter"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18536","athornton"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18533","hwin16"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"DM-18532","lauren"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18526","spietrowicz"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18525","afausti"
0.42857142857142855,0.7142857142857143,0.0,0.5773509219020128,5.0,2.0,4.0,9.0,"DM-18521","tribeiro"
0.42857142857142855,0.7142857142857143,0.0,0.5773509219020128,5.0,2.0,4.0,9.0,"DM-18520","tribeiro"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18519","afausti"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18518","afausti"
0.16666666666666666,0.16666666666666666,0.0,0.37796447300922725,1.0,2.0,6.0,7.0,"DM-18516","aclements"
0.32575757575757575,0.4166666666666667,0.0,0.42640286099863395,5.0,2.0,9.0,14.0,"DM-18514","womullan"
0.25,0.25,0.0,0.0,1.0,1.0,3.0,4.0,"DM-18513","ttsai"
0.25,0.25,0.0,0.0,1.0,1.0,3.0,4.0,"DM-18512","ttsai"
0.25,0.25,0.0,0.0,1.0,1.0,3.0,4.0,"DM-18511","ttsai"
0.32575757575757575,0.4166666666666667,0.0,0.42640286099863395,5.0,2.0,9.0,14.0,"DM-18509","womullan"
0.32575757575757575,0.4166666666666667,0.0,0.42640286099863395,5.0,2.0,9.0,14.0,"DM-18508","womullan"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18506","afausti"
0.4666666666666667,0.6666666666666666,0.0,0.57735078470142,4.0,2.0,4.0,8.0,"DM-18503","jsick"
0.3333333333333333,0.5,0.0,0.0,2.0,1.0,2.0,4.0,"DM-18502","athornton"
0.36666666666666664,0.5,0.0,0.44721496029086083,3.0,2.0,4.0,7.0,"DM-18501","aheyer"
0.36666666666666664,0.5,0.0,0.44721496029086083,3.0,2.0,4.0,7.0,"DM-18500","aheyer"
0.3333333333333333,0.5,0.0,0.0,2.0,1.0,2.0,4.0,"DM-18497","athornton"
