"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14"
"TISTUD-6445",False,"train",0.0,0.0,0.0,0.0,0.9377729296684265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6909",False,"train",0.0,0.9998753070831299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5665",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9688760042190552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6270",False,"train",0.6874424815177917,0.0,0.0,0.0,0.28546568751335144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6307",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983329713344574
"TISTUD-7683",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933355808258057,0.09391655027866364,0.0,0.0,0.0,0.0
"TISTUD-5668",False,"train",0.3128337860107422,0.0,0.0,0.0,0.0,0.26010003685951233,0.0,0.41302838921546936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5642",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809486865997314,0.0,0.0,0.0,0.0,0.0
"TISTUD-8905",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782934188842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5710",False,"train",0.0,0.0,0.20234143733978271,0.0,0.21939480304718018,0.0,0.0,0.5166980624198914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7678",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39928683638572693,0.0,0.561313271522522,0.0,0.0
"TISTUD-5408",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555524587631226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5822",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9640887379646301,0.0,0.0,0.0,0.0,0.0
"TISTUD-5195",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9792572855949402,0.0,0.0,0.0,0.0,0.0
"TISTUD-5960",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809514880180359
"TISTUD-6399",False,"train",0.9918098449707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6281",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555469751358032,0.0,0.0,0.0,0.0,0.0
"TISTUD-6297",False,"train",0.0,0.8074501752853394,0.0,0.0,0.0,0.16364318132400513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7251",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8345667123794556,0.16053567826747894
