"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"USERGRID-726","Story","2015-06-06T00:06:48.000+0000",56,35.4427,10.4606,35.24242424242424,11.0485,14.114090909090912,19.0438,10.071067811865476
"USERGRID-725","Bug","2015-06-05T22:17:12.000+0000",92,-323.7192,25.5145,70.62393162393163,68.1003,85.90948717948717,93.2768,20.029386365926403
"USERGRID-720","Story","2015-06-03T20:34:33.000+0000",35,40.515,17.2,65.22222222222223,12.08,15.4375,17.3825,14.61895003862225
"USERGRID-719","Bug","2015-06-03T20:13:15.000+0000",23,48.525,14.6,49.0,12.4533,15.493749999999999,14.1179,12.486832980505138
"USERGRID-715","Story","2015-06-03T20:02:20.000+0000",13,60.705,11.4667,37.0,7.7733,8.5125,11.6408,10.745966692414834
"USERGRID-714","Story","2015-06-03T20:01:36.000+0000",16,73.17,11.3333,28.333333333333336,6.78,4.91,5.76,10.745966692414834
"USERGRID-713","Story","2015-06-03T20:01:05.000+0000",14,76.5015,14.4308,20.692307692307693,5.8185,4.272307692307692,5.9054,12.486832980505138
"USERGRID-709","Story","2015-06-03T19:57:06.000+0000",13,31.545,15.7333,56.0,10.35,10.2225,15.0308,10.745966692414834
"USERGRID-708","Story","2015-06-03T19:55:53.000+0000",13,81.855,8.1333,20.333333333333336,4.8233,4.587499999999999,6.7325,8.477225575051662
"USERGRID-707","Story","2015-06-02T21:59:41.000+0000",59,32.28,10.6667,36.66666666666667,12.4833,13.387999999999998,16.362,10.245688373094719
"USERGRID-706","Story","2015-06-02T21:40:19.000+0000",28,75.4278,12.6966,38.63793103448276,6.3409,7.421034482758621,9.1438,11.660254037844387
"USERGRID-704","Bug","2015-06-02T18:38:01.000+0000",9,-65.575,12.0,40.0,24.89,30.67,40.1,10.745966692414834
"USERGRID-703","Bug","2015-06-01T23:56:21.000+0000",9,-107.875,16.0,40.0,30.79,32.083000000000006,41.867,12.486832980505138
"USERGRID-702","Story","2015-06-01T23:38:09.000+0000",174,-223.5078,24.547,68.37694704049844,53.2948,69.38632398753893,74.6264,19.583123951777
"USERGRID-700","Bug","2015-06-01T15:15:13.000+0000",24,11.245,16.5538,72.15384615384616,18.15,27.981923076923074,28.5804,13.954451150103322
"USERGRID-699","Bug","2015-06-01T14:44:30.000+0000",6,-136.64,10.0,65.0,33.56,51.720000000000006,66.55,8.477225575051662
