"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"MESOS-3430",False,"train",0.0,0.0,0.15032820403575897,0.0,0.0,0.1259756237268448,0.2978358268737793,0.0,0.0,0.4201357960700989
"MESOS-920",False,"train",0.0,0.0,0.0,0.31806260347366333,0.49122390151023865,0.18551428616046906,0.0,0.0,0.0,0.0
"MESOS-3112",False,"train",0.0,0.0,0.0,0.0,0.0,0.8636535406112671,0.07564076036214828,0.0,0.0,0.04998460039496422
"MESOS-6156",False,"train",0.9857037663459778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2210",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9624631404876709
"MESOS-4780",False,"train",0.014311503618955612,0.014312676154077053,0.014310807920992374,0.014310181140899658,0.014311786741018295,0.8711863160133362,0.01431337371468544,0.014319079928100109,0.014313014224171638,0.014311297796666622
"MESOS-3074",True,"train",0.0,0.0,0.939953088760376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8066",False,"train",0.0,0.4267594516277313,0.0,0.0,0.0,0.09997902810573578,0.0,0.0,0.4707601070404053,0.0
"MESOS-2043",False,"train",0.0,0.0,0.9962652325630188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5827",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399673342704773,0.0
"MESOS-3586",False,"train",0.531023383140564,0.0,0.028805501759052277,0.0,0.0,0.0,0.0,0.43538662791252136,0.0,0.0
"MESOS-3339",False,"train",0.0,0.0,0.0,0.0,0.42323288321495056,0.0,0.0,0.0,0.4604499042034149,0.10962217301130295
"MESOS-8866",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9590205550193787
"MESOS-2279",False,"train",0.0,0.0,0.04125480726361275,0.0,0.2926079332828522,0.0,0.11434648931026459,0.5397213697433472,0.0,0.0
"MESOS-8957",False,"train",0.016698962077498436,0.016699332743883133,0.016698986291885376,0.016700007021427155,0.016698824241757393,0.016705449670553207,0.016698621213436127,0.0167011097073555,0.01669957861304283,0.8496991395950317
"MESOS-5303",False,"train",0.0,0.0,0.0,0.0,0.0,0.6372010707855225,0.0,0.0,0.31825706362724304,0.0
"MESOS-8772",False,"train",0.014290218241512775,0.014291978441178799,0.0142899751663208,0.014290472492575645,0.014289497397840023,0.014290916733443737,0.014291762374341488,0.8713847994804382,0.014290518127381802,0.014289874583482742
"MESOS-7709",False,"train",0.8225148916244507,0.0,0.0,0.0,0.0,0.0,0.17006918787956238,0.0,0.0,0.0
