"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11"
"MESOS-9570",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9660133123397827,0.0,0.0
"MESOS-3074",True,"train",0.3853314518928528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5590587854385376,0.0,0.0
"MESOS-6039",False,"train",0.9516879916191101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4056",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9683640599250793,0.0,0.0
"MESOS-4674",False,"train",0.984140157699585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3468",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9744840860366821
"MESOS-4395",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26945605874061584,0.0,0.6709601283073425,0.0,0.0
"MESOS-1445",False,"train",0.8689979314804077,0.01190912164747715,0.011910120025277138,0.01190915796905756,0.011909037828445435,0.01190908718854189,0.011909406632184982,0.01190915983170271,0.011909217573702335,0.01190925482660532,0.011909211054444313,0.011909286491572857
"MESOS-8051",False,"train",0.0,0.0,0.9985628724098206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3425",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9082385897636414,0.0
"MESOS-7226",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791438579559326,0.0,0.0,0.0,0.0
"MESOS-2613",False,"train",0.02312443219125271,0.0,0.634466290473938,0.0,0.0,0.0,0.0,0.0,0.0,0.32252389192581177,0.0,0.0
"MESOS-7796",False,"train",0.0,0.0,0.0,0.0502556674182415,0.0,0.0,0.712819516658783,0.0,0.23300659656524658,0.0,0.0,0.0
"MESOS-3173",False,"train",0.0,0.0,0.0,0.0,0.968337893486023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6156",False,"train",0.0,0.9854423403739929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8097",False,"train",0.6785564422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30248984694480896,0.0,0.0,0.0
"MESOS-4143",False,"train",0.9836178421974182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6519",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998949766159058,0.0,0.0,0.0,0.0
"MESOS-4214",False,"train",0.8689725399017334,0.01191161759197712,0.011911620385944843,0.011911541223526001,0.011911632493138313,0.011911553330719471,0.011911504901945591,0.011911622248589993,0.011911613866686821,0.011911592446267605,0.011911636218428612,0.011911571025848389
"MESOS-5023",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648415744304657,0.3483371138572693,0.0,0.0
"MESOS-2804",False,"train",0.051840029656887054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9243090152740479,0.0,0.0
"MESOS-6296",False,"train",0.24814777076244354,0.0,0.0,0.0,0.7184836268424988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3560",False,"train",0.0,0.0,0.9836077094078064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5171",False,"train",0.0,0.0,0.971336305141449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8097",False,"train",0.6785564422607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30248984694480896,0.0,0.0,0.0
"MESOS-2078",False,"train",0.9968239665031433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-9009",False,"train",0.0,0.0,0.988085150718689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7699",True,"train",0.4952648878097534,0.0,0.0,0.0,0.0,0.0,0.0,0.5014238953590393,0.0,0.0,0.0,0.0
"MESOS-8349",False,"train",0.986896812915802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4136",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6286461353302002,0.0,0.3571985363960266,0.0,0.0
"MESOS-4670",False,"train",0.26421284675598145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7049015760421753
"MESOS-1394",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516726732254028,0.0
"MESOS-9130",False,"train",0.5092264413833618,0.0,0.0,0.0,0.0,0.0,0.013966030441224575,0.0,0.46588876843452454,0.0,0.0,0.0
